	trackname	start	length	duration
0	mixotic-set044-excerpts/refsongs/pntg001-02-charles_tone-she_had_an_idea.excerpt40.mp3	0	4096	0.09287981859410431
1	mixotic-set044-excerpts/refsongs/pntg001-03-ludwig_coenen-l5.excerpt40.mp3	0	8192	0.18575963718820862
2	mixotic-set044-excerpts/refsongs/pntg001-03-ludwig_coenen-l5.excerpt40.mp3	1970176	135168	3.0650340136054424
3	mixotic-set044-excerpts/refsongs/pntg001-04-demir-you_got_it.excerpt40.mp3	0	20480	0.46439909297052157
4	mixotic-set044-excerpts/refsongs/pntg001-04-demir-you_got_it.excerpt40.mp3	2027520	20480	0.46439909297052157
5	mixotic-set044-excerpts/refsongs/pntg001-05-kairos-no_more_acid.excerpt40.mp3	0	4096	0.09287981859410431
6	mixotic-set044-excerpts/refsongs/pntg001-05-kairos-no_more_acid.excerpt40.mp3	2023424	131072	2.972154195011338
7	mixotic-set044-excerpts/refsongs/pntg001-06-liam_o_leary_and_heyden-rock_the_boat.excerpt40.mp3	0	4096	0.09287981859410431
8	mixotic-set044-excerpts/refsongs/pntg001-06-liam_o_leary_and_heyden-rock_the_boat.excerpt40.mp3	1892352	65536	1.486077097505669
9	mixotic-set044-excerpts/refsongs/pntg001-07-mabik-deep_house.excerpt40.mp3	0	4096	0.09287981859410431
10	mixotic-set044-excerpts/refsongs/pntg001-07-mabik-deep_house.excerpt40.mp3	2117632	86016	1.9504761904761905
11	mixotic-set044-excerpts/refsongs/pntg001-08-kareem-fuck_the_rack_on.excerpt40.mp3	0	4096	0.09287981859410431
12	mixotic-set044-excerpts/refsongs/pntg001-08-kareem-fuck_the_rack_on.excerpt40.mp3	2035712	20480	0.46439909297052157
13	mixotic-set044-excerpts/refsongs/pntg001-09-cint-bluescreen.excerpt40.mp3	0	40960	0.9287981859410431
14	mixotic-set044-excerpts/refsongs/pntg001-09-cint-bluescreen.excerpt40.mp3	135168	36864	0.8359183673469388
15	mixotic-set044-excerpts/refsongs/pntg001-09-cint-bluescreen.excerpt40.mp3	266240	40960	0.9287981859410431
16	mixotic-set044-excerpts/refsongs/pntg001-09-cint-bluescreen.excerpt40.mp3	1806336	8192	0.18575963718820862
17	mixotic-set044-excerpts/refsongs/pntg001-09-cint-bluescreen.excerpt40.mp3	1818624	86016	1.9504761904761905
18	mixotic-set044-excerpts/refsongs/pntg003-01-ludwig_coenen-night_in.excerpt40.mp3	0	20480	0.46439909297052157
19	mixotic-set044-excerpts/refsongs/pntg003-01-ludwig_coenen-night_in.excerpt40.mp3	1994752	122880	2.786394557823129
20	mixotic-set044-excerpts/refsongs/pntg003-02-ludwig_coenen-pearling.excerpt40.mp3	0	16384	0.37151927437641724
21	mixotic-set044-excerpts/refsongs/pntg003-02-ludwig_coenen-pearling.excerpt40.mp3	167936	4096	0.09287981859410431
22	mixotic-set044-excerpts/refsongs/pntg003-02-ludwig_coenen-pearling.excerpt40.mp3	249856	8192	0.18575963718820862
23	mixotic-set044-excerpts/refsongs/pntg003-02-ludwig_coenen-pearling.excerpt40.mp3	339968	8192	0.18575963718820862
24	mixotic-set044-excerpts/refsongs/pntg003-02-ludwig_coenen-pearling.excerpt40.mp3	1904640	4096	0.09287981859410431
25	mixotic-set044-excerpts/refsongs/pntg003-02-ludwig_coenen-pearling.excerpt40.mp3	1912832	40960	0.9287981859410431
